ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Score,Adjusted Score,BMI
21814,Kelly Clark,F,22,163,61,United States,USA,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Women's Halfpipe,NA,41.1,82.2,22.95908766
37725,Chikako Fushimi,F,31,154,47,Japan,JPN,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Women's Halfpipe,NA,15.6,31.2,19.81784449
48496,Elena Hight,F,16,157,52,United States,USA,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Women's Halfpipe,NA,37.8,75.6,21.09619051
72782,Cheryl Maas,F,21,174,66,Netherlands,NED,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Women's Halfpipe,NA,16.5,33,21.79944511
84367,Shiho Nakashima,F,27,156,44,Japan,JPN,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Women's Halfpipe,NA,33.1,66.2,18.08021039
93732,Manuela Laura Pesko,F,27,170,56,Switzerland,SUI,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Women's Halfpipe,NA,35.9,71.8,19.37716263
119398,Hannah Lee Teter,F,19,170,60,United States,USA,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Women's Halfpipe,Gold,46.4,92.8,20.76124567
126358,Doriane Monique Vidal,F,29,168,56,France,FRA,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Women's Halfpipe,NA,35.7,71.4,19.84126984
132357,Soko Yamaoka,F,31,162,53,Japan,JPN,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Women's Halfpipe,NA,32.7,65.4,20.19509221
12250,Gretchen Bleiler,F,28,165,57,United States,USA,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Halfpipe,NA,14.7,29.4,20.93663912
15096,Torah Jane Bright (-Thomson),F,23,161,57,Australia,AUS,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Halfpipe,Gold,45,90,21.98989237
21814,Kelly Clark,F,26,163,61,United States,USA,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Halfpipe,Bronze,42.4,84.8,22.95908766
23712,Holly Crawford,F,26,173,63,Australia,AUS,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Halfpipe,NA,30.3,60.6,21.0498179
45075,Ursina Haller,F,24,172,62,Switzerland,SUI,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Halfpipe,NA,27.9,55.8,20.9572742
48496,Elena Hight,F,20,157,52,United States,USA,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Halfpipe,NA,24.6,49.2,21.09619051
70597,Liu Jiayu,F,17,172,65,China,CHN,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Halfpipe,NA,39.3,78.6,21.97133586
85893,Mercedes Nicoll,F,26,163,58,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Halfpipe,NA,34.3,68.6,21.8299522
101855,Sophie Rodriguez,F,21,168,57,France,FRA,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Halfpipe,NA,34.4,68.8,20.19557823
116516,Sun Zhifeng,F,18,158,58,China,CHN,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Halfpipe,NA,33,66,23.23345618
119398,Hannah Lee Teter,F,23,170,60,United States,USA,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Halfpipe,Silver,42.4,84.8,20.76124567
15096,Torah Jane Bright (-Thomson),F,27,161,57,Australia,AUS,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,Silver,91.5,91.5,21.98989237
17293,Cai Xuetong,F,20,162,60,China,CHN,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,NA,84.25,84.25,22.86236854
18908,Queralt Castellet Ibez,F,24,156,52,Spain,ESP,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,NA,61.75,61.75,21.36752137
21814,Kelly Clark,F,30,163,61,United States,USA,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,Bronze,90.75,90.75,22.95908766
34163,Kaitlyn Brooke Farrington,F,24,163,57,United States,USA,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,Gold,91.75,91.75,21.45357371
45075,Ursina Haller,F,28,172,62,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,NA,48.75,48.75,20.9572742
69487,Li Shuang,F,21,169,63,China,CHN,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,NA,73.25,73.25,22.05805119
70597,Liu Jiayu,F,21,172,65,China,CHN,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,NA,68.25,68.25,21.97133586
88399,Rana Okada,F,23,163,50,Japan,JPN,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,NA,85.5,85.5,18.81892431
101855,Sophie Rodriguez,F,25,168,57,France,FRA,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,NA,79.5,79.5,20.19557823
119398,Hannah Lee Teter,F,27,170,60,United States,USA,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,NA,90.5,90.5,20.76124567
120117,Mirabelle Thovex,F,22,167,60,France,FRA,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,NA,67,67,21.51385851
