ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Score,Adjusted Score,BMI
115031,Carl Magnus Sterner,M,22,175,80,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Snowboarding,Snowboarding Men's Halfpipe,NA,36.6,73.2,26.12244898
119802,"Jarret John ""JJ"" Thomas",M,20,180,70,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Snowboarding,Snowboarding Men's Halfpipe,Bronze,42.1,84.2,21.60493827
1291,Mason Singer Aguirre,M,18,183,68,United States,USA,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Halfpipe,NA,40.3,80.6,20.30517483
6047,"Antti-Matias Antero ""Antti"" Autti",M,20,177,68,Finland,FIN,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Halfpipe,NA,39.1,78.2,21.70512943
35387,"Andrew Joseph ""Andy"" Finch",M,24,170,75,United States,USA,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Halfpipe,NA,24.7,49.4,25.95155709
57907,"Daniel ""Danny"" Kass",M,23,165,61,United States,USA,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Halfpipe,Silver,44,88,22.40587695
58523,Markus Keller,M,23,170,64,Switzerland,SUI,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Halfpipe,NA,38.5,77,22.14532872
63019,Markku Olavi Koski,M,24,181,73,Finland,FIN,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Halfpipe,Bronze,41.5,83,22.28259211
70427,Crispin Lipscomb,M,26,175,65,Canada,CAN,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Halfpipe,NA,33.5,67,21.2244898
72427,Vinzenz Lps,M,24,190,99,Germany,GER,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Halfpipe,NA,36.8,73.6,27.42382271
76703,Risto Markus Antero Mattila,M,25,177,75,Finland,FIN,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Halfpipe,NA,35.8,71.6,23.93948099
107083,Christophe Schmidt,M,22,171,64,Germany,GER,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Halfpipe,NA,37.5,75,21.88707637
130018,Shaun Roger White,M,19,175,70,United States,USA,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Halfpipe,Gold,46.8,93.6,22.85714286
134209,Gary Zebrowski,M,21,179,76,France,FRA,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Halfpipe,NA,38.6,77.2,23.71960925
4658,Ryo Aono,M,19,166,60,Japan,JPN,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Halfpipe,NA,32.9,65.8,21.77384236
14988,"Gregory ""Greg"" Bretz",M,19,188,88,United States,USA,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Halfpipe,NA,18.3,36.6,24.89814396
23756,Mathieu Crepel,M,25,170,62,France,FRA,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Halfpipe,NA,25.9,51.8,21.4532872
62113,Kazuhiro Kokubo,M,21,164,54,Japan,JPN,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Halfpipe,NA,35.7,71.4,20.07733492
